filename,verdict,mismatch_rows,categories,croma_measures,ref_measures,measure_delta
tune_013890.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,14,14,0
tune_013990.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,14,14,0
tune_014799.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,10,10,0
tune_014824.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,12,12,0
tune_014829.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,8,8,0
tune_015469.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,17,17,0
tune_000487.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,16,16,0
tune_000488.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,16,16,0
tune_000500.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,48,48,0
tune_000512.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,48,48,0
tune_000563.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,56,56,0
tune_000750.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,44,44,0
tune_000765.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,44,44,0
tune_000800.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,76,76,0
tune_000829.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,56,56,0
tune_000866.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,72,72,0
tune_000885.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,36,36,0
tune_000944.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,52,52,0
tune_000996.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,92,92,0
tune_001180.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,80,80,0
tune_001202.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,21,21,0
tune_001206.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,128,128,0
tune_001221.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,36,36,0
tune_001232.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,48,48,0
tune_001313.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,56,56,0
tune_001334.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,64,64,0
tune_001339.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,52,52,0
tune_001346.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,36,36,0
tune_001368.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,56,56,0
tune_001409.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,68,68,0
tune_001413.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,112,112,0
tune_001425.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,52,52,0
tune_001448.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,68,68,0
tune_001464.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,56,56,0
tune_001504.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,84,84,0
tune_001524.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,52,52,0
tune_001568.abc,ARTIFACT_ACCIDENTAL_ALTER,2,accidental,48,48,0
